temperature,station_level_pressure,relative_humidity
24.1,1012.4,62
24.3,1012.2,61
24.5,1012.1,60
24.7,1011.9,59
25.0,1011.8,58
25.2,1011.7,57
25.4,1011.6,57
25.6,1011.5,56
25.8,1011.4,55
26.0,1011.3,54
26.2,1011.2,54
26.4,1011.1,53
26.5,1011.0,52
26.7,1010.9,52
26.8,1010.8,51
27.0,1010.7,50
27.1,1010.6,50
27.2,1010.5,49
27.3,1010.4,49
27.4,1010.3,48
27.5,1010.2,48
27.6,1010.1,47
27.7,1010.0,47
27.8,1009.9,46
27.9,1009.8,46
28.0,1009.7,45
28.1,1009.6,45
28.2,1009.5,44
28.3,1009.4,44
28.4,1009.3,43
28.5,1009.2,43
28.6,1009.1,42
28.7,1009.0,42
28.8,1008.9,41
28.9,1008.8,41
29.0,1008.7,40
29.1,1008.6,40
29.2,1008.5,39
29.3,1008.4,39
29.4,1008.3,38
29.5,1008.2,38
29.6,1008.1,37
29.7,1008.0,37
29.8,1007.9,36
29.9,1007.8,36
30.0,1007.7,35
30.1,1007.6,35
30.2,1007.5,34
30.3,1007.4,34
30.4,1007.3,33
30.5,1007.2,33
55.0,1007.1,33
30.7,1007.0,32
30.8,1006.9,32
30.9,1006.8,31
31.0,1006.7,31
31.1,1006.6,30
31.2,1006.5,30
-20.0,1006.4,29
31.4,1006.3,29
31.5,1006.2,28
31.6,1006.1,28
31.7,1006.0,27
31.8,1005.9,27
31.9,1005.8,26
32.0,1005.7,26
32.1,1005.6,25
32.2,1005.5,25
32.3,1005.4,24
32.4,1005.3,24
32.5,1005.2,23
32.6,1005.1,23
32.7,1005.0,22
32.8,1004.9,22
32.9,1004.8,21
33.0,1004.7,21
33.1,1004.6,20
33.2,1004.5,20
33.3,1004.4,19
33.4,1004.3,19
33.5,1004.2,18
33.6,1004.1,18
33.7,1004.0,17
33.8,1003.9,17
33.9,1003.8,16
34.0,1003.7,16
34.1,1003.6,15
34.2,1003.5,15
34.3,1003.4,14
34.4,1003.3,14
34.5,1003.2,13
34.6,1003.1,13
34.7,1003.0,12
34.8,1002.9,12
34.9,1002.8,11
35.0,1002.7,10
