Location,Time,Temperature_C,Humidity_Percent,Pressure_hPa
Hyderabad,2025-01-01 00:00:00,19.0,88.7457279474852,1015.0
Hyderabad,2025-01-01 02:00:00,18.0,88.1001435273896,
Hyderabad,2025-01-01 03:00:00,20.6,85.5946678261552,1016.7
Hyderabad,2025-01-01 04:00:00,26.0,57.63433267904622,
Hyderabad,2025-01-01 06:00:00,27.6,47.9819386707884,1015.9
Hyderabad,2025-01-01 08:00:00,30.0,42.831580797851935,
Hyderabad,2025-01-01 09:00:00,28.6,49.17506433297476,1011.9
Hyderabad,2025-01-01 11:00:00,28.0,42.28248962275748,
Hyderabad,2025-01-01 12:00:00,27.0,50.98677157890719,1012.1
Hyderabad,2025-01-01 13:00:00,24.0,53.57621135443473,
Hyderabad,2025-01-01 14:00:00,24.0,53.57621135443473,
Hyderabad,2025-01-01 15:00:00,23.0,63.085678507414855,1015.3
Hyderabad,2025-01-01 16:00:00,21.0,64.28724600863578,
Hyderabad,2025-01-01 18:00:00,20.4,73.47887549588208,1015.8
Hyderabad,2025-01-01 21:00:00,17.4,84.1728000475239,1014.6
Hyderabad,2025-01-02 00:00:00,16.2,89.6666795922352,1014.9
Hyderabad,2025-01-02 02:00:00,15.0,87.83845905653965,
Hyderabad,2025-01-02 03:00:00,19.2,77.64570694202888,1016.6
Hyderabad,2025-01-02 04:00:00,22.0,56.659698507038094,
Hyderabad,2025-01-02 05:00:00,25.0,47.2840066651506,
Hyderabad,2025-01-02 06:00:00,26.2,42.89549397809908,1015.9
Hyderabad,2025-01-02 07:00:00,28.0,28.390915098739228,
Hyderabad,2025-01-02 09:00:00,29.2,24.90360248102239,1012.2
Hyderabad,2025-01-02 10:00:00,28.0,20.071678745219934,
Hyderabad,2025-01-02 12:00:00,26.6,28.983678748077875,1012.5
Hyderabad,2025-01-02 13:00:00,23.0,33.316865338448196,
Hyderabad,2025-01-02 14:00:00,22.0,35.40361906663422,
Hyderabad,2025-01-02 15:00:00,21.0,48.09227761649968,1016.0
Hyderabad,2025-01-02 16:00:00,20.0,42.883660259810405,
Hyderabad,2025-01-02 17:00:00,17.0,55.40152305736491,
Hyderabad,2025-01-02 18:00:00,16.6,65.46653260667351,1017.2
Hyderabad,2025-01-02 21:00:00,15.0,74.97803395049729,1016.3
Hyderabad,2025-01-03 00:00:00,14.8,76.96710286217073,1016.3
Hyderabad,2025-01-03 02:00:00,14.0,71.84904007653962,
Hyderabad,2025-01-03 03:00:00,19.4,52.03262799781299,1017.4
Hyderabad,2025-01-03 04:00:00,25.0,29.545250045925382,
Hyderabad,2025-01-03 05:00:00,27.0,26.24726622630555,
Hyderabad,2025-01-03 06:00:00,27.4,26.904965528002045,1015.4
Hyderabad,2025-01-03 07:00:00,29.0,20.321701318054608,
Hyderabad,2025-01-03 08:00:00,30.0,20.57190227650599,
Hyderabad,2025-01-03 09:00:00,30.0,21.447330795926238,1011.8
Hyderabad,2025-01-03 10:00:00,30.0,20.57190227650599,
Hyderabad,2025-01-03 11:00:00,28.0,26.51808029973417,
Hyderabad,2025-01-03 12:00:00,27.0,33.76306714415767,1012.3
Hyderabad,2025-01-03 13:00:00,23.0,40.88640209147293,
Hyderabad,2025-01-03 14:00:00,20.0,52.54132558106588,
Hyderabad,2025-01-03 15:00:00,20.4,56.261960294450695,1015.1
Hyderabad,2025-01-03 16:00:00,19.0,55.91018876841073,
Hyderabad,2025-01-03 17:00:00,17.0,59.282134775229586,
Hyderabad,2025-01-03 18:00:00,18.0,61.544076807039396,1015.6
Hyderabad,2025-01-03 19:00:00,15.0,67.35546988018302,
Hyderabad,2025-01-03 21:00:00,16.0,72.21894762129432,1014.4
Hyderabad,2025-01-04 00:00:00,14.2,76.36035558498175,1014.6
