Location,Time,Temperature_C,Humidity_Percent,Pressure_hPa
Kolkata,2025-01-01 00:00:00,15.0,86.69713639932762,1015.8
Kolkata,2025-01-01 01:00:00,15.0,82.26135295757307,
Kolkata,2025-01-01 02:00:00,15.0,82.26135295757307,
Kolkata,2025-01-01 03:00:00,16.1,79.2255500328325,1017.6
Kolkata,2025-01-01 04:00:00,18.0,72.58214163091449,
Kolkata,2025-01-01 05:00:00,19.0,68.17624188935186,
Kolkata,2025-01-01 06:00:00,20.6,64.61860815257197,1016.4
Kolkata,2025-01-01 07:00:00,22.0,60.47020638316778,
Kolkata,2025-01-01 08:00:00,23.0,56.905982387401856,
Kolkata,2025-01-01 09:00:00,23.2,55.858360603198676,1013.1
Kolkata,2025-01-01 10:00:00,23.0,53.3200727790885,
Kolkata,2025-01-01 11:00:00,22.0,56.659698507038094,
Kolkata,2025-01-01 12:00:00,21.4,61.92008126297963,1013.4
Kolkata,2025-01-01 13:00:00,20.0,64.06828882011946,
Kolkata,2025-01-01 14:00:00,19.0,68.17624188935186,
Kolkata,2025-01-01 15:00:00,19.2,72.79689586933766,1015.5
Kolkata,2025-01-01 16:00:00,18.0,77.46347403540311,
Kolkata,2025-01-01 17:00:00,17.0,77.30999987827745,
Kolkata,2025-01-01 18:00:00,17.2,81.47133555590639,1016.2
Kolkata,2025-01-01 19:00:00,15.0,87.83845905653965,
Kolkata,2025-01-01 20:00:00,14.0,87.7493580835068,
Kolkata,2025-01-01 21:00:00,16.4,84.60810750294789,1014.9
Kolkata,2025-01-01 22:00:00,13.0,87.65929893866783,
Kolkata,2025-01-01 23:00:00,13.0,87.65929893866783,
Kolkata,2025-01-02 00:00:00,13.4,92.44713118035172,1015.7
Kolkata,2025-01-02 01:00:00,12.0,87.56826823314962,
Kolkata,2025-01-02 02:00:00,13.0,93.6507241146196,
Kolkata,2025-01-02 03:00:00,14.6,82.21115771380671,1018.5
Kolkata,2025-01-02 04:00:00,16.0,77.15504026859813,
Kolkata,2025-01-02 05:00:00,18.0,67.9737012152502,
Kolkata,2025-01-02 06:00:00,20.0,60.795284486151715,1016.7
Kolkata,2025-01-02 07:00:00,21.0,56.41164570214274,
Kolkata,2025-01-02 08:00:00,22.0,53.062217933001484,
Kolkata,2025-01-02 09:00:00,22.2,52.07527839165964,1014.0
Kolkata,2025-01-02 10:00:00,22.0,53.062217933001484,
Kolkata,2025-01-02 11:00:00,21.0,56.41164570214274,
Kolkata,2025-01-02 12:00:00,20.2,62.45824686119664,1014.2
Kolkata,2025-01-02 13:00:00,19.0,63.847544203512655,
Kolkata,2025-01-02 14:00:00,18.0,67.9737012152502,
Kolkata,2025-01-02 15:00:00,16.8,83.56210204241829,1016.2
Kolkata,2025-01-02 16:00:00,16.0,77.15504026859813,
Kolkata,2025-01-02 17:00:00,16.0,77.15504026859813,
Kolkata,2025-01-02 18:00:00,16.2,82.94991283505945,1016.4
Kolkata,2025-01-02 19:00:00,15.0,82.26135295757307,
Kolkata,2025-01-02 20:00:00,15.0,82.26135295757307,
Kolkata,2025-01-02 21:00:00,15.8,85.09530172182048,1015.4
Kolkata,2025-01-02 22:00:00,13.0,93.6507241146196,
Kolkata,2025-01-02 23:00:00,13.0,93.6507241146196,
Kolkata,2025-01-03 00:00:00,13.7,88.30318788545544,1016.1
Kolkata,2025-01-03 01:00:00,13.0,87.65929893866783,
Kolkata,2025-01-03 02:00:00,14.0,82.13548036749823,
Kolkata,2025-01-03 03:00:00,15.0,78.5453271453219,1018.3
Kolkata,2025-01-03 04:00:00,16.0,77.15504026859813,
Kolkata,2025-01-03 05:00:00,18.0,67.9737012152502,
Kolkata,2025-01-03 06:00:00,19.4,63.5175342376094,1016.8
Kolkata,2025-01-03 07:00:00,21.0,60.23620878051111,
Kolkata,2025-01-03 08:00:00,21.0,64.28724600863578,
Kolkata,2025-01-03 09:00:00,22.2,60.5167917252445,1013.7
Kolkata,2025-01-03 10:00:00,22.0,60.47020638316778,
Kolkata,2025-01-03 11:00:00,21.0,64.28724600863578,
Kolkata,2025-01-03 12:00:00,20.4,70.24697078102471,1014.2
Kolkata,2025-01-03 13:00:00,20.0,68.37704311271231,
Kolkata,2025-01-03 14:00:00,19.0,72.76126640465226,
Kolkata,2025-01-03 15:00:00,17.0,83.58530465643025,1015.7
Kolkata,2025-01-03 16:00:00,17.0,82.5092926949021,
Kolkata,2025-01-03 17:00:00,16.0,87.92661502454915,
Kolkata,2025-01-03 18:00:00,16.8,87.43108727612648,1015.0
